"CID","Result","query"
"667493","CRYSTALS.
PLATES FROM WATER.
WHITE, CRYSTALLINE POWDER.
ODORLESS.
Reported MPs:  570 to 577 °F (Decomposes) (NTP, 1992)","METHYLTHIOURACIL"
"6720","Pale yellow crystals.
Colorless needles.
Fine needles from alcohol, platelets from carbon disulfide.
Cream crystals.
Musty odor.
Reported BPs:  622 °F at 760 mmHg (with some decomposition) (NTP, 1992); 328 °C at 760 mm Hg with some decomposition; 328 °C; 622 °F.
Reported MPs:  295 °F (NTP, 1992); 144 °C; Pale yellow crystals. 99% pure. MP: 142-145 °C /Technical grade/; 146 °C; 295 °F","QUINTOZENE"
"6777","White granular solid.
White, crystalline solid.
Prisms from alcohol.
Mildly aromatic odor.
Reported BPs:  392 to 455 °F at 4 mmHg (NTP, 1992); BP: 224 °C at 4 mm Hg; at 0.5kPa: 222-228 °C.
Reported MPs:  144 to 149 °F (NTP, 1992); 66 °C.
Thermal decomposition products of dicyclohexyl phthalate (major constituent of the film label adhesive are cyclohexanol, cyclohexyl ether, phthalic anhydride and cyclohexyl benzoate..
When heated to decomp it emits acrid smoke and irritating vapors.","1,2-BENZENEDICARBOXYLIC ACID, DICYCLOHEXYL ESTER"
"6781","Colorless oily liquid.
Colorless to water-white, oily liquid..
Practically odorless.
Odorless.
Very slight, aromatic odor..
Reported BPs:  568 °F at 760 mmHg (NTP, 1992); 295 °C; 563 °F.
Reported MPs:  27 °F (NTP, 1992); -40.5 °C; -67 - -44 °C; -41 °F.
When heated to decomp it emits acrid smoke and irritating fumes.","DIETHYL PHTHALATE"
"6786","Clear, oily liuid.
Slightly aromatic.
Reported BPs:  662 °F at 735 mmHg (NTP, 1992); 210 °C at 5 mm Hg; 662 °F at 735 mmHg.
Reported MPs:  -72 °F (NTP, 1992); -58 °C; -72 °F","DI-N-HEXYLPHTHALATE"
"6901","Clear, colorless liquid.
Mild, turpentine-like odor..
Reported BPs:  419 °F at 760 mmHg (NTP, 1992); 215 °C @ 760 mm Hg; 212 °C; 419 °F.
Reported MPs:  -6 °F (NTP, 1992); -21 °C; -18 °C; -6 °F.
When heated to decomposition it emits very toxic fumes of /chlorine/ Cl-.","HEXACHLORO-1,3-BUTADIENE"
"6945","Yellow crystals.
Monoclinic needles.
Reported BPs:  475 °F at 760 mmHg (NTP, 1992); 245.5 °C; 246 °C.
Reported MPs:  90 to 91 °F (NTP, 1992); 32 °C; 33 °C","1-CHLORO-2-NITROBENZENE"
"702","Clear, colorless, very mobile liquid.
Pleasant.
Fragrant odor.
Alcohol odor.
Weak, ethereal, vinous odor.
Reported BPs:  173.3 °F at 760 mmHg (NTP, 1992); 78.2 °C; 78.24 °C; 78 °C; 173 °F.
Reported MPs:  -173.4 °F (NTP, 1992); -114.1 °C; -114.14 °C; -114  °C; -173 °F","ETHANOL"
"7239","Colorless liquid.
Colorless to pale-yellow liquid ....
Pleasant odor.
... Pleasant, aromatic odor.
Reported BPs:  356.9 °F at 760 mmHg (NTP, 1992); 180.1 °C at 760 mm Hg; 180-183 °C; 357 °F.
Reported MPs:  1 °F (NTP, 1992); -16.7 °C; -17 °C; 1 °F.
When heated to decomposition it emits toxic /hydrogen/ chloride fumes.","1,2-DICHLOROBENZENE"
"7240","Amber liquid.
Water-white to tan liquid.
Colorless liquid.
Characteristic sweet odor.
Amine odor.
Reported BPs:  406 to 410 °F at 760 mmHg (NTP, 1992); 208.8 °C; 209 °C.
Reported MPs:  28.5 °F (NTP, 1992); -14 °C; -2 °C.
When heated to decomposition, it emits toxic fumes of /hydrogen chloride and nitrogen oxides/.","1-AMINO-2-CHLOROBENZENE"
"7257","NEEDLES FROM PETROLEUM ETHER.
LIGHT BROWN CRYSTALS /DICHLOROANILINES/.
Reported BPs:  522 °F at 760 mmHg (NTP, 1992); 272 °C.
Reported MPs:  162 °F (NTP, 1992); 71-72 °C; 72 °C.
WHEN HEATED TO DECOMP ... THEY EVOLVE HIGHLY TOXIC /HYDROGEN/ CHLORIDE FUMES. SOME ORG CHLORIDES DECOMP TO YIELD PHOSGENE. /CHLORIDES/.
340 °C. Decomposes on burning. This produces toxic fumes including nitrogen oxides and hydrogen chloride (see ICSC 0163).","1-AMINO-3,4-DICHLOROBENZENE"
"7280","Colorless liquid when pure.
PUNGENT ODOR.
Pungent odor at high concentrations..
Reported BPs:  385 °F at 760 mmHg (NTP, 1992); 164.5 °C at 300 mm Hg; 196 °C; 384 °F.
Reported MPs:  43 °F (NTP, 1992); 5 °C; 6 °C; 43 °F.
195.5 °C at 760 mm Hg, with decomp","1,2-DIBROMO-3-CHLOROPROPANE (DBCP)"
"7393","Needles from water.
Needles from lignin.
White crystals.
Crystals, needles, or practically white flakes.
Distinctive odor.
Reported BPs:  463.1 °F at 760 mmHg (NTP, 1992); 239 °C; 237.00 °C. @ 760.00 mm Hg; 237 °C; 463.1 °F.
Reported MPs:  214 °F (NTP, 1992); 98 °C; 99 °C; 214 °F.
When heated to decomposition it emits acrid and irritating fumes..
Hazardous decomposition products formed under fire conditions: Carbon oxides","1-HYDROXY-4-TERT-BUTYLBENZENE"
"7473","Yellowish crystals.
Colorless rhombic needles.
Orthorhombic crystals from alcohol and ether.
Crystalline solid.
Bitter almond.
Weak aromatic odor.
Reported BPs:  460.9 °F at 760 mmHg (NTP, 1992); 238.3 °C; Boiling point: 105 °C at 9 mm Hg; 238 °C; 460 °F.
Reported MPs:  130.1 °F (NTP, 1992); 51.7 °C; 53-54 °C; 126 °F.
The substance decomposes on heating producing toxic fumes /of/ (nitrogen oxides)..
Energy of decomposition ( in range 300-420 C) was measured as 1.74 kJ/g by differential scanning calorimetry, and temperature of adiabatic storage which gives an induction time to exothermic decomposition of 24 hours was determined as 232 C by adiabatic Dewar tests, with an apparent energy of activation of 162 kJ/mol. Energy of decomposition of pure 4-nitrotoluene in the range 240-460 C was determined by micro differential scanning calorimetry as 3.52 kJ/g, peaking at 409 C..
Decomposes violently at 279 °C and will burn even in absence of air.","1-METHYL-4-NITROBENZENE"
"7500","Colorless liquid.
Aromatic odor.
Pungent odor.
Sweet, gasoline-like odor.
Reported BPs:  277.2 °F at 760 mmHg (NTP, 1992); 136.2 °C; 136 °C; 277 °F.
Reported MPs:  -139 °F (NTP, 1992); -94.95 °C; -95 °C; -139 °F.
Hazardous decomposition products formed under fire conditions - Carbon oxides..
When heated to decomposition it emits acrid smoke and irritating fumes.","ETHYLBENZENE"
"7501","Colorless to yellowish, oily liquid.
Viscous liquid.
Characteristic, sweet, balsamic, almost floral odor that is extremely penetrating.
Aromatic odor.
Sweet, floral odor.
If pure, sweet and pleasant, but usually contains aldehydes that have a typical penetrating smell, sharp, sweet, and unpleasant..
Reported BPs:  293 to 295 °F at 760 mmHg (NTP, 1992); 145.3 °C; 145.00 to 146.00 °C. @ 760.00 mm Hg; 145 °C; 293 °F.
Reported MPs:  -24 to -23 °F (NTP, 1992); -30.65 °C; Latent heat of fusion: 10.95 kJ/mole (at melting point); Latent heat of sublimation: 43.9 kJ/mole (25 °C); Heat of formation: 103.8 kJ/mole (25 °C); Ionization potential: 8.42 eV; -33 °C; -30.6 °C; -23 °F.
Hazardous decomposition products formed under fire conditions - Carbon oxides..
When heated to decomposition it emits acrid smoke and irritating fumes.","STYRENE"
"7579","Colorless crystals.
Reported BPs:  Sublimes (NTP, 1992); >300 °C.
Reported MPs:  367 to 369 °F (NTP, 1992); 189 °C (decomposes.
When heated to decomposition it emits toxic fumes of /nitrogen oxides/.","4,4'-DIAMINODIPHENYL ETHER"
"7641","COLORLESS OR VERY PALE AMBER LIQ.
Light colored, oily liquid..
SLIGHT AROMATIC SMELL.
Odorless.
Mild.
Reported BPs:  783 °F at 760 mmHg (NTP, 1992); 214 °C @ 5 mm Hg; 416.00 to 418.00 °C. @ 760.00 mm Hg.
Reported MPs:  -90 °F (NTP, 1992); -67.8 °C.
When heated to decomposition it emits acrid smoke and irritating fumes.","BIS(2-ETHYLHEXYL) ADIPATE"
"768","Colorless gas or liquid.
Water-white liquid below 26.5 °C.
Colorless or pale-blue liquid or gas (above 78 °F) ... [Note: Often used as a 96% solution in water].
Bitter almond odor.
... Bitter, almond-like odor..
Reported BPs:  78 °F at 760 mmHg (96%) (NIOSH, 2024); 25.63 °C; 79.00 °C. @ 0.00 mm Hg; 26 °C; 78 °F (96%).
Reported MPs:  7 °F (96%) (NIOSH, 2024); -13.28 °C; 5.00 °C. @ 0.00 mm Hg; -13 °C; 7 °F (96%)","HYDROGEN CYANIDE"
"7693","Colorless to slightly yellow liquid or crystals.
White solid or crystals.
Reported BPs:  204 °C; BP: 116 °C at 45 mm Hg.
Reported MPs:  31.3 °C.
When heated to decomposition it emits toxic fumes of /hydrogen chloride, hydrogen cyanide and nitrogen oxides/.","P-CHLOROPHENYL ISOCYANATE"
"7835","Colorless liquid.
Odor is sweet, pungent or chloroform-like ... generally perceived as a slightly irritating chloroformlike odor.
Pungent, garlic-like odor.
Reported BPs:  241.7 °F at 760 mmHg (EPA, 1998); 117.9 °C; 116 °C; 242 °F.
Reported MPs:  -54.4 to -14.1 °F (EPA, 1998); -25.6 °C; -57.2 °C; -48 °C; -54 °F.
When heated to decomp, emits toxic fumes of /hydrogen chloride/.","EPICHLOROHYDRIN"
"7839","Heavy liquid.
Colorless liquid or solid (below 50 degrees F).
Chloroform odor.
Sweetish odor.
Reported BPs:  268 to 270 °F at 760 mmHg (NTP, 1992); 131.3 °C; 131 °C; 268 °F.
Reported MPs:  49.9 °F (NTP, 1992); 9.8 °C; 10 °C; 50 °F.
Hazardous decomposition products formed under fire conditions - Carbon oxides, hydrogen bromide gas..
At 240-270 °C in a glass vessel, ethylene bromide decomposes into vinyl bromide & hydrogen bromide..
Toxic gases & vapors (such as hydrogen bromide, bromine, & carbon monoxide) may be released when ethylene dibromide decomposes..
When heated to decomp ... emits toxic fumes of /hydrogen bromide/..
Decomposed by alkalis & by light.","1,2-DIBROMOETHANE"
"8019","Colorless liquid.
Mild agreeable odor.
Ether-like odor.
Reported BPs:  257 °F at 768 mmHg (NTP, 1992); 124.1 °C; 125 °C; 256 °F.
Reported MPs:  -121.2 °F (NTP, 1992); -85.1 °C; -85 °C; -121 °F.
Thermal decomposition 204 - 232 °C.
Hazardous decomposition products: Hazardous decomposition products formed under fire conditions. - Carbon oxides.","ETHYLENE GLYCOL MONOMETHYL ETHER"
"8028","Colorless, mobile liquid.
Water-white liquid.
Colorless liquid.
Ether-like odor.
FAINT FRUITY ODOR.
Reported BPs:  151 °F at 760 mmHg (NTP, 1992); 65 °C; 65.00 °C. @ 760.00 mm Hg; 66 °C; 151 °F.
Reported MPs:  -163.3 °F (NTP, 1992); -108.44 °C; -108.3 °C; -108.5 °C; -163.3 °F; -163 °F.
When heated to decomposition it emits acrid smoke & irritating fumes..
Upon contact with air, THF may decompose into explosive peroxides & carbon monoxide.","TETRAHYDROFURAN"
"8030","COLORLESS LIQUID.
SLIGHT AROMATIC ODOR RESEMBLING BENZENE.
Reported BPs:  183.9 °F at 760 mmHg (NTP, 1992); 84.0 °C @ 760 MM HG; 84.00 °C. @ 760.00 mm Hg; 84 °C.
Reported MPs:  -36.8 °F (NTP, 1992); -39.4 °C; -38.3 °C; -38 °C.
WHEN HEATED TO DECOMPOSITION IT EMITS HIGHLY TOXIC FUMES OF SULFUR OXIDES..
May be heated to 850 °C without decomposition.","THIOPHENE"
"807","Bluish-black scales or plates; diatomic; violet vapor.
Rhombic, violet-black crystals with metallic luster.
Bluish-black, lustrous solid.
Violet solid..
Heavy, grayish-black plates or granules having a metallic luster.
Sharp characteristic odor..
Irritating odor.
Reported BPs:  365 °F at 760 mmHg (NIOSH, 2024); 184.4 °C; 184 °C; 365 °F.
Reported MPs:  236 °F (NIOSH, 2024); 113.7 °C; 113.6 °C; 114 °C; 236 °F.
When heated to decomposition it emits toxic fumes of /hydrogen iodide/ and various iodine compounds.","IODINE"
"8076","Colorless liquid.
Sweet, pleasant, ether-like odor.
Mild, agreeable odor.
Practically odorless.
Reported BPs:  275 °F at 760 mmHg (NTP, 1992); 135 °C; 135.7 °C; 135.00 °C. @ 760.00 mm Hg; 275 °F.
Reported MPs:  -94 °F (NTP, 1992); -70 °C; -94 °F; -130 °F.
Hazardous decomposition products formed under fire conditions. - Carbon oxides","ETHYLENE GLYCOL MONOETHYL ETHER"
"8133","Colorless liquid.
Mild, ether-like odor.
Slight, rancid odor.
Weak, pleasant odor.
Characteristic; quality: sweet, ester; hedonic tone: pleasant.
Reported BPs:  340 °F at 743 mmHg (NTP, 1992); 168.4 °C; 168.40 °C. @ 760.00 mm Hg; 171 °C; 339 °F.
Reported MPs:  -94 °F (NTP, 1992); -74.8 °C; -75 °C; -107 °F.
When heated to decomposition it emits acrid smoke and irritating fumes.","ETHYLENE GLYCOL MONOBUTYL ETHER"
"8134","Colorless liquid.
Water-white liquid.
Light yellow clear liquid.
Slight or pleasant smell /Solvents/.
Ether-like odor.
Reported BPs:  381 °F at 760 mmHg (NTP, 1992); 193 °C; 381 °F.
Reported MPs:  -94 °F (NTP, 1992); Less than -84 °C; -94 °F.
When heated to decomposition it emits acrid smoke and irritating fumes.","DIETHYLENE GLYCOL MONOMETHYL ETHER"
"8268","Colorless solid.
Crystals from petroleum ether.
Solids have slight characteristic odor.
Liquid has odor of the solvent (xylene).
Reported BPs:  437 °F at 760 mmHg (NTP, 1992); 180 °C at 0.1 mm Hg.
Reported MPs:  173.3 to 175.1 °F (NTP, 1992); 77.5 °C; 77-78 °C.
Dangerous: when heated to decomposition ... they evolve highly toxic /hydrogen/ chloride fumes. /chlorides/","DICOFOL"
"8343","Liquid.
Colorless, oily liquid.
Slight odor.
Reported BPs:  723 °F at 760 mmHg (NTP, 1992); 384 °C; BP: 231 °C at 5 mm Hg; 385 °C; 727 °F.
Reported MPs:  -58 °F (NTP, 1992); -55 °C; -50 °C; -58 °F.
When heated to decomp it emits acrid smoke.","BIS(2-ETHYLHEXYL)PHTHALATE"
"8346","Clear, oily liquid.
Liquid at room temperature.
Reported BPs:  428 °F at 760 mmHg (NTP, 1992); BP: 220 °C at 2 mm Hg; 428 °F.
Reported MPs:  -13 °F (NTP, 1992); 25 °C; -13 °F.
When heated to decomp it emits acrid smoke and irritating fumes.","DI-N-OCTYL PHTHALATE"
"8370","White needles.
Colorless and sublimable prismatic crystals.
Colorless crystals.
Reported BPs:  612 °F at 760 mmHg (sublimes) (NTP, 1992); 325 °C; 323-326 °C; 612 °F.
Reported MPs:  441 to 444 °F (NTP, 1992); 228.83 °C; MP: 200 °C /Technical product/; 226 °C; 231 °C; 441-444 °F.
Dangerous; When heated to decomposition, emits toxic fumes of /hydrogen chloride/.","HEXACHLOROBENZENE"
"8379","Liquid.
Reported BPs:  greater than 545 °F at 5 mmHg (NTP, 1992); 285 °C at 3.5 mm Hg.
Reported MPs:  less than -34.6 °F (USCG, 1999).
When heated to decomp it emits acrid smoke and irritating fumes.","1,2-BENZENEDICARBOXYLIC ACID, DITRIDECYL ESTER"
"8418","Monoclinic plates from alcohol recrystallization; when pure, colorless with violet fluorescence.
Tablets or monoclinic prisms from alcohol.
Yellow crystals with blue fluorescence.
Pale yellow leaves.
Weak aromatic odor.
Reported BPs:  644 °F at 760 mmHg (corrected); 439.7 °F at 53 mmHg, sublimes (NTP, 1992); 341.3 °C; 342 °C; 644 °F.
Reported MPs:  421 to 424 °F (NTP, 1992); 216 °C; 218 °C; 421-424 °F.
Hazardous decomposition products formed under fire conditions - Carbon oxides..
Decomposes on heating. Decomposes under the influence of strong oxidants. This produces acrid, toxic fume. This generates fire and explosion hazard.","ANTHRACENE"
"8449","COLORLESS CRYSTALS OR NEEDLES.
Hexagonal needles from benzene.
White ... solid.
Pale yellow solid.
Strong medicinal.
Reported BPs:  410 °F at 760 mmHg (NTP, 1992); 210 °C; 210.0 °C.
Reported MPs:  113 °F (NTP, 1992); 45 °C; 45.0 °C.
When heated to decomposition ... it emits highly toxic fumes of /hydrogen chloride/.","2,4-DICHLOROPHENOL"
"8478","COLORLESS CRYSTALS.
MILD ODOR.
Reported MPs:  327 to 331 °F (NTP, 1992); 164-166 °C (HOT STAGE); EUTECTIC TEMP: PHENANTHRENE 86 °C; BENZANTHRENE 98 °C; 160-165 °C.
When heated to decomposition it emits very toxic fumes of /hydrogen choride and nitrogen oxides/.","BENZETHONIUM CHLORIDE"
"8559","Reported BPs:  579 to 581 °F at 760 mmHg (NTP, 1992)","DIPROPYL PHTHALATE"
"8561","Colorless, oily liquid.
Nearly odorless.
Reported BPs:  648 °F at 760 mmHg (NTP, 1992); 342 °C.
Reported MPs:  less than -67 °F (NTP, 1992); FP: less than -55 °C.
When heated to decomposition it emits acrid smoke and irritating fumes.","DI-N-PENTYL PHTHALATE"
"8722","Crystals from hot chloroform + alcohol.
White when pure.
Colorless powder.
Crystalline white solid.
Odorless when pure.
Reported MPs:  482 °F (NTP, 1992); 246 °C; MP: 250 °C (crystals); 148 °C (dust).; MP: 240-244 °C /Technical/; 240-250 °C.
When heated to decomposition it emits very toxic fumes of /nitrogen oxides and sulfur oxides/.","ZIRAM"
"8765","Needles (from water).
Reported MPs:  226 to 228 °F (NTP, 1992); 108.5 °C","4,4'-DIAMINODIPHENYL SULFIDE"
"8814","White solid.
Reported BPs:  279 °C.
Reported MPs:  85 °C; 84.5 °C.
When heated to decomposition it emits acrid smoke and irritating fumes.","4-(1,1,3,3-TETRAMETHYLBUTYL)PHENOL"
"91650","Colorless crystals.
Reported MPs:  96.3 °C; 88 - 89 °C","PYRIMETHANIL"
"9321","Colorless oily liquid.
Colorless fuming, oily liquid ... (Note: A solid below 36 °F).
Anhydrous hydrazine is a waxy solid..
Penetrating odor resembling ammonia..
Ammonia-like odor.
Reported BPs:  236.3 °F at 760 mmHg (EPA, 1998); 113.55 °C; Contracts on freezing. ...One gallon of commercial product weighs 8.38 lbs. ...Dissolves many inorganic substances. ...Forms an azeotropic mixture with water, boiling point (at 760 mm Hg) 120.3 °C, which contains 55 mole-% (68.5 weight-%) N2H4.; BP: 56 °C at 71 mm Hg; 170 deg at 5 atm; 200 °C at 10 atm; 236 °C at 20 atm; 114 °C; 236.3 °F; 236 °F.
Reported MPs:  36 °F (EPA, 1998); 1.54 °C; MP: 127 °C; soluble in water at 25 °C /Hydrazine monohydroiodide/; 2 °C; 36 °F.
Hazardous decomposition products formed under fire conditions - Nitrogen oxides (NOx)..
On contact with metal catalysts (e.g., platinum black; Raney nickel; copper-iron oxide; molybdenum; molybdenum oxides; iridium), it decomposes to ammonia, hydrogen and nitrogen gases which may ignite or explode..
When heated to decomposition it emits highly toxic fumes of /nitrogen oxide/ and /ammonia/..
Air or oxygen is not required for decomposition. ... Decomposes at room temperature or above depending on surface contacted..
The pure compound decomposes on heating or when exposed to ultraviolet radiation to form ammonia, hydrogen, and nitrogen. This reaction may be explosive, especially when catalysed by certain metals and metal oxides..
Decomposition of aqueous hydrazine occurs in the presence of metal catalysts such as platinum or Raney nickel.","HYDRAZINE"
"9411","White crystalline solid.
White to light-tan crystalline solid.
Colorless to white, crystalline solid [Note: Commercially available as a wettable powder or in liquid formulations].
Odorless.
Reported BPs:  Sublimes (NIOSH, 2024); sublimes; Sublimes.
Reported MPs:  317 °F (Sublimes) (NIOSH, 2024); 158 °C; 158-160 °C; 317 °F (sublimes); 317 °F (Sublimes).
... Decomposes slowly in strong acids..
When heated to decomp it emits very toxic fumes of /hydrogen bromide and nitrogen oxides/.","BROMACIL"
"949","Pale-yellow, oily liquid [Note: A solid below 36 degrees F].
Yellowish to brownish, oily liquid.
Amine-like odor.
Reported BPs:  381 °F at 760 mmHg (NTP, 1992); 193 °C; 192-194 °C; 378 °F.
Reported MPs:  36.4 °F (NTP, 1992); 2.1 °C; 2.5 °C; 36 °F.
When heated to decomposition it emits highly toxic fumes of aniline and NOx.","N,N-DIMETHYLANILINE"
"9502","White crystalline solid.
Colorless crystals.
Fine flakes or coarse powder.
ODORLESS.
Reported MPs:  93-94 °C.
When heated to decomposition it emits very toxic fumes of /hydrogen chloride and nitrogen oxides/.","LINURON"
"9570071","Crystals from isopropyl ether.
Slightly sulfurous odor.
Reported BPs:  Decomposes (NTP, 1992); decomposes.
Reported MPs:  210 to 214 °F (EPA, 1998); 99-100 °C; 100 °C; 210-214 °F.
When heated to decomposition it emits very toxic fumes of /nitrogen oxides and sulfur oxides/..
... Decomposes rapidly in alkaline media & at temperatures above 100 °C..
Rapidly converted by oxidizing agents to the sulfoxide, which is more slowly oxidized to the sulfone (aldoxycarb q.v.).","ALDICARB"
"969491","COLORLESS CRYSTALS.
Light-tan, flaked solid.
White, crystalline substance.
Colorless to light-tan crystals..
Mild, chemical odor..
Reported BPs:  Decomposes (NIOSH, 2024); Decomposes.
Reported MPs:  349 to 351 °F (NTP, 1992); 175.5 °C; 175-176 °C; 349 °F.
When heated to decomposition, emits toxic fumes of /hydrogen chloride/.","DIELDRIN"
"9703","Reported MPs:  433 °F (decomposes) (NTP, 1992)","PROCARBAZINE HYDROCHLORIDE"
"991","The pure material is a yellowish liquid at temperatures above 6 °C.
Pale-yellow to dark-brown liquid ... [Note: A solid below 43 degrees F. Pesticide that may be absorbed on a dry carrier]..
Pale yellow liquid.
Deep brown to yellow liquid.
Usually has a faint odor.
... Garlic-like odor ....
Phenol-like odor.
Reported BPs:  707 °F at 760 mmHg (EPA, 1998); 375 °C AT 760 MM HG; 375 °C; 707 °F.
Reported MPs:  43 °F (EPA, 1998); 6.1 °C; 6 °C; 43 °F.
Toxic gases and vapors (such as carbon monoxide, oxides of nitrogen, phosphorus, and sulfur) may be released when parathion ... /undergoes decomposition/.","PARATHION"
"992","White monoclinic, crystalline solid.
Needle-like crystals.
Colorless to white crystalline solid.
Phenolic odor.
Very pungent odor, only when hot.
Benzene-like odor.
Reported BPs:  588 to 590 °F at 760 mmHg (with decomposition) (NTP, 1992); 309-310 °C (decomposes); 588 °F (decomposes); 588 °F (Decomposes).
Reported MPs:  376 °F (NTP, 1992); 174 °C; 191 °C; 374 °F.
Hydrogen chloride, chlorinated phenols, and carbon monoxide may be released upon decomposition..
Not combustible but if involved in a fire decomposes to produce hydrogen chloride and other irritants and toxic gases..
The thermal decomposition of PCP or Na-PCP yields significant amounts of PCDDs /polychlorinated dibenzodioxins/ and PCDFs /polychlorinated dibenzofurans/, depending on the thermolytic conditions.  For pure PCP, dimerization of PCP has been suggested as an underlying reaction process; in technical PCP, additional reactions, i.e., dechlorination of higher chlorinated PCDDs and cyclization of predioxins are involved in forming various and different PCDD isomers..
309 °C","PENTACHLOROPHENOL"
